Organisation_Key,Organisation,Sector,Status,Confidence,Evidence_Types,Evidence_Count,Evidence,Conflicting_Sectors,Decision_Origin,Updated_At
college de france,Collège de France,Éducation / Formation,CONFIRMED,HIGH,safe_name,1,safe_name:Éducation / Formation:Collège de France,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
commission europeenne,Commission Européenne,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
commune d eyguires,Commune d'Eyguires,Administration / Collectivité,CONFIRMED,HIGH,safe_name,1,safe_name:Administration / Collectivité:Commune d'Eyguires,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
commune de acoua,commune de acoua,Administration / Collectivité,CONFIRMED,HIGH,manual_reference,1,manual_reference:Administration / Collectivité:Entité ou alias territorial validé du référentiel Cyberwatch,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
commune de bandraboua,commune de bandraboua,Administration / Collectivité,CONFIRMED,HIGH,manual_reference,1,manual_reference:Administration / Collectivité:Entité ou alias territorial validé du référentiel Cyberwatch,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
commune de bandrele,commune de bandrele,Administration / Collectivité,CONFIRMED,HIGH,manual_reference,1,manual_reference:Administration / Collectivité:Entité ou alias territorial validé du référentiel Cyberwatch,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
commune de boueni,commune de boueni,Administration / Collectivité,CONFIRMED,HIGH,manual_reference,1,manual_reference:Administration / Collectivité:Entité ou alias territorial validé du référentiel Cyberwatch,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
commune de bourg achard,Commune de Bourg-Achard,Administration / Collectivité,CONFIRMED,HIGH,safe_name,1,safe_name:Administration / Collectivité:Commune de Bourg-Achard,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
commune de bras panon,commune de bras panon,Administration / Collectivité,CONFIRMED,HIGH,manual_reference,1,manual_reference:Administration / Collectivité:Entité ou alias territorial validé du référentiel Cyberwatch,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
commune de camiers,Commune De Camiers,Administration / Collectivité,CONFIRMED,HIGH,safe_name,1,safe_name:Administration / Collectivité:Commune De Camiers,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
commune de chiconi,commune de chiconi,Administration / Collectivité,CONFIRMED,HIGH,manual_reference,1,manual_reference:Administration / Collectivité:Entité ou alias territorial validé du référentiel Cyberwatch,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
commune de chirongui,commune de chirongui,Administration / Collectivité,CONFIRMED,HIGH,manual_reference,1,manual_reference:Administration / Collectivité:Entité ou alias territorial validé du référentiel Cyberwatch,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
commune de cilaos,commune de cilaos,Administration / Collectivité,CONFIRMED,HIGH,manual_reference,1,manual_reference:Administration / Collectivité:Entité ou alias territorial validé du référentiel Cyberwatch,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
commune de dembeni,commune de dembeni,Administration / Collectivité,CONFIRMED,HIGH,manual_reference,1,manual_reference:Administration / Collectivité:Entité ou alias territorial validé du référentiel Cyberwatch,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
commune de dzaoudzi labattoir,commune de dzaoudzi labattoir,Administration / Collectivité,CONFIRMED,HIGH,manual_reference,1,manual_reference:Administration / Collectivité:Entité ou alias territorial validé du référentiel Cyberwatch,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
commune de entre deux,commune de entre deux,Administration / Collectivité,CONFIRMED,HIGH,manual_reference,1,manual_reference:Administration / Collectivité:Entité ou alias territorial validé du référentiel Cyberwatch,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
commune de kani keli,commune de kani keli,Administration / Collectivité,CONFIRMED,HIGH,manual_reference,1,manual_reference:Administration / Collectivité:Entité ou alias territorial validé du référentiel Cyberwatch,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
commune de koungou,commune de koungou,Administration / Collectivité,CONFIRMED,HIGH,manual_reference,1,manual_reference:Administration / Collectivité:Entité ou alias territorial validé du référentiel Cyberwatch,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
commune de l etang sale,commune de l etang sale,Administration / Collectivité,CONFIRMED,HIGH,manual_reference,1,manual_reference:Administration / Collectivité:Entité ou alias territorial validé du référentiel Cyberwatch,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
commune de la plaine des palmistes,commune de la plaine des palmistes,Administration / Collectivité,CONFIRMED,HIGH,manual_reference,1,manual_reference:Administration / Collectivité:Entité ou alias territorial validé du référentiel Cyberwatch,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
commune de la possession,commune de la possession,Administration / Collectivité,CONFIRMED,HIGH,manual_reference,1,manual_reference:Administration / Collectivité:Entité ou alias territorial validé du référentiel Cyberwatch,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
commune de le port,commune de le port,Administration / Collectivité,CONFIRMED,HIGH,manual_reference,1,manual_reference:Administration / Collectivité:Entité ou alias territorial validé du référentiel Cyberwatch,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
commune de le tampon,commune de le tampon,Administration / Collectivité,CONFIRMED,HIGH,manual_reference,1,manual_reference:Administration / Collectivité:Entité ou alias territorial validé du référentiel Cyberwatch,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
commune de les avirons,commune de les avirons,Administration / Collectivité,CONFIRMED,HIGH,manual_reference,1,manual_reference:Administration / Collectivité:Entité ou alias territorial validé du référentiel Cyberwatch,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
commune de les trois bassins,commune de les trois bassins,Administration / Collectivité,CONFIRMED,HIGH,manual_reference,1,manual_reference:Administration / Collectivité:Entité ou alias territorial validé du référentiel Cyberwatch,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
commune de m tsamboro,commune de m tsamboro,Administration / Collectivité,CONFIRMED,HIGH,manual_reference,1,manual_reference:Administration / Collectivité:Entité ou alias territorial validé du référentiel Cyberwatch,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
commune de m tsangamouji,commune de m tsangamouji,Administration / Collectivité,CONFIRMED,HIGH,manual_reference,1,manual_reference:Administration / Collectivité:Entité ou alias territorial validé du référentiel Cyberwatch,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
commune de ouangani,Commune de Ouangani,Administration / Collectivité,CONFIRMED,HIGH,manual_reference | safe_name,2,manual_reference:Administration / Collectivité:Entité ou alias territorial validé du référentiel Cyberwatch | safe_name:Administration / Collectivité:Commune de Ouangani,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
commune de pamandzi,commune de pamandzi,Administration / Collectivité,CONFIRMED,HIGH,manual_reference,1,manual_reference:Administration / Collectivité:Entité ou alias territorial validé du référentiel Cyberwatch,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
commune de petite ile,commune de petite ile,Administration / Collectivité,CONFIRMED,HIGH,manual_reference,1,manual_reference:Administration / Collectivité:Entité ou alias territorial validé du référentiel Cyberwatch,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
commune de sada,commune de sada,Administration / Collectivité,CONFIRMED,HIGH,manual_reference,1,manual_reference:Administration / Collectivité:Entité ou alias territorial validé du référentiel Cyberwatch,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
