Incident_ID,Date,Date_Basis,Organisation,Secteur,Menace,Localisation,Sources,Source_URLs,Items_Count,First_seen,Last_seen
INC-FAE80A38ED88,2026-06-20,PUBLICATION,Amigest,Numérique / Technologie,Ransomware,France métropolitaine,RANSOMWARE_LIVE,https://amigest.fr,1,2026-08-19T07:38:42.720613+04:00,2026-08-19T07:38:42.720613+04:00
INC-E6BA3CCE85CF,2026-06-20,PUBLICATION,Cofaq,Services aux entreprises,Ransomware,France métropolitaine,RANSOMWARE_LIVE,https://cofaq.fr,1,2026-08-19T07:38:42.720613+04:00,2026-08-19T07:38:42.720613+04:00
INC-0DF7CAE043A5,2026-06-20,PUBLICATION,nundungopee.mu,Inconnu,Ransomware,Maurice,RANSOMWARE_LIVE,http://lockbitapt67g6rwzjbcxnww5efpg4qok6vpfeth7wx3okj52ks4wtad.onion/post/0de81d33e0a742b28d0c0939b6ad3f5b,1,2026-08-19T07:38:42.720613+04:00,2026-08-19T07:38:42.720613+04:00
INC-9D5201E09606,2026-06-20,PUBLICATION,Vera Chimie Management,Industrie / Manufacture,Ransomware,France métropolitaine,RANSOMWARE_LIVE,https://verachimie.fr,1,2026-08-19T07:38:42.720613+04:00,2026-08-19T07:38:42.720613+04:00
INC-57C1CFFE9B6C,2026-06-19,PUBLICATION,Académie de Lyon,Éducation / Formation,Fuite de données,France métropolitaine,BONJOURLAFUITE,https://bonjourlafuite.eu.org/img/affelnet.png,1,2026-08-19T07:38:42.720613+04:00,2026-08-19T07:38:42.720613+04:00
INC-847543AE5770,2026-06-19,PUBLICATION,Agir pour l'environnement,Inconnu,Fuite de données,France métropolitaine,BONJOURLAFUITE,https://bonjourlafuite.eu.org/img/agir-pour-l-environnement.png,1,2026-08-19T07:38:42.720613+04:00,2026-08-19T07:38:42.720613+04:00
INC-064A7EF38223,2026-06-19,PUBLICATION,Commune d'Eyguires,Administration / Collectivité,Ransomware,France métropolitaine,RANSOMWARE_LIVE,http://ijzn3sicrcy7guixkzjkib4ukbiilwc3xhnmby4mcbccnsd7j2rekvqd.onion/site/blog?uuid=28145869-f2d7-4dc2-9171-a26b63fbd83b,1,2026-08-19T07:38:42.720613+04:00,2026-08-19T07:38:42.720613+04:00
INC-A83BF22F66CD,2026-06-19,PUBLICATION,Iron Bodyfit,Inconnu,Fuite de données,France métropolitaine,CYBERATTAQUE_ORG,https://www.cyberattaque.org/iron-bodyfit-382-000-clients-revendiques-dans-une-fuite-de-donnees-mondiale/,1,2026-08-19T07:38:42.720613+04:00,2026-08-19T07:38:42.720613+04:00
INC-5AD27B6EED2C,2026-06-18,PUBLICATION,Axeo Services,Inconnu,Fuite de données,France métropolitaine,BONJOURLAFUITE,https://bonjourlafuite.eu.org/axeo.png,1,2026-08-19T07:38:42.720613+04:00,2026-08-19T07:38:42.720613+04:00
INC-A57CB4538FD7,2026-06-18,PUBLICATION,Bien’ici,Inconnu,Fuite de données,France métropolitaine,CYBERATTAQUE_ORG,https://www.cyberattaque.org/bienici-les-prospects-de-six-agences-immobilieres-diffusees-en-fuite/,1,2026-08-19T07:38:42.720613+04:00,2026-08-19T07:38:42.720613+04:00
