Organisation_Key,Organisation,Secteur,Localisation,Périmètre,Motif,URL_de_validation
commune de saint paul,Mairie de Saint-Paul,Administration / Collectivité,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
ville de saint paul,Mairie de Saint-Paul,Administration / Collectivité,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
mairie de saint philippe,Mairie de Saint-Philippe,Administration / Collectivité,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
commune de saint philippe,Mairie de Saint-Philippe,Administration / Collectivité,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
ville de saint philippe,Mairie de Saint-Philippe,Administration / Collectivité,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
mairie de saint pierre,Mairie de Saint-Pierre,Administration / Collectivité,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
commune de saint pierre,Mairie de Saint-Pierre,Administration / Collectivité,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
ville de saint pierre,Mairie de Saint-Pierre,Administration / Collectivité,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
mairie de sainte marie,Mairie de Sainte-Marie,Administration / Collectivité,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
commune de sainte marie,Mairie de Sainte-Marie,Administration / Collectivité,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
ville de sainte marie,Mairie de Sainte-Marie,Administration / Collectivité,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
mairie de sainte rose,Mairie de Sainte-Rose,Administration / Collectivité,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
commune de sainte rose,Mairie de Sainte-Rose,Administration / Collectivité,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
ville de sainte rose,Mairie de Sainte-Rose,Administration / Collectivité,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
mairie de sainte suzanne,Mairie de Sainte-Suzanne,Administration / Collectivité,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
commune de sainte suzanne,Mairie de Sainte-Suzanne,Administration / Collectivité,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
ville de sainte suzanne,Mairie de Sainte-Suzanne,Administration / Collectivité,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
mairie de salazie,Mairie de Salazie,Administration / Collectivité,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
commune de salazie,Mairie de Salazie,Administration / Collectivité,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
ville de salazie,Mairie de Salazie,Administration / Collectivité,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
region reunion,Région Réunion,Administration / Collectivité,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
conseil regional de la reunion,Région Réunion,Administration / Collectivité,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
departement de la reunion,Département de La Réunion,Administration / Collectivité,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
conseil departemental de la reunion,Département de La Réunion,Administration / Collectivité,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
prefecture de la reunion,Préfecture de La Réunion,Administration / Collectivité,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
chu de la reunion,CHU de La Réunion,Santé,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
chu reunion,CHU de La Réunion,Santé,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
centre hospitalier universitaire de la reunion,CHU de La Réunion,Santé,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
universite de la reunion,Université de La Réunion,Éducation / Formation,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
rectorat de la reunion,Rectorat de La Réunion,Éducation / Formation,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
academie de la reunion,Rectorat de La Réunion,Éducation / Formation,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
caf de la reunion,CAF de La Réunion,Administration / Collectivité,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
caisse d allocations familiales de la reunion,CAF de La Réunion,Admini…204 tokens truncated… du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py,,,
port reunion,Grand Port Maritime de La Réunion,Transport / Logistique,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
aeroport de la reunion roland garros,Aéroport de La Réunion Roland-Garros,Transport / Logistique,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
