Organisation_Key,Query_Name,Matched_Name,Company_ID,Activity_Code,Activity_Label,Headquarters_Department,Evidence_Source,Evidence_URL,Match_Status,Fetched_At,Validated_Sector,Validated_Via,Cache_Version
france cyber defense,France Cyber Défense,FRANCE CYBER DEFENSE,818118150,46.51Z,Commerce ; réparation d'automobiles et de motocycles,75,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=818118150,MATCHED,2026-08-16T11:59:40+04:00,Commerce / Distribution,deterministic,4
france education international,France Éducation International,FRANCE EDUCATION INTERNATIONAL,180043069,85.42Z,Enseignement,92,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=180043069,MATCHED,2026-08-16T20:20:24+04:00,Éducation / Formation,deterministic,4
france vae,France VAE,,,,,,recherche-entreprises.api.gouv.fr,,NOT_FOUND,2026-08-17T10:23:34+04:00,,,4
gdquest,GDQuest,GDQUEST,908630312,62.02A,Information et communication,71,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=908630312,MATCHED,2026-08-16T20:20:24+04:00,Numérique / Technologie,deterministic,4
gedimat,Gédimat,,,,,,recherche-entreprises.api.gouv.fr,,NOT_FOUND,2026-08-17T10:23:34+04:00,,,4
generali,Generali,GENERALI,510112352,46.90Z,Commerce ; réparation d'automobiles et de motocycles,75,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=510112352,MATCHED,2026-08-16T11:59:40+04:00,Commerce / Distribution,deterministic,4
gold union,Gold Union,GOLD UNION,393472766,52.4V,Transports et entreposage,75,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=393472766,MATCHED,2026-08-16T20:20:24+04:00,Transport / Logistique,deterministic,4
goodvest,Goodvest,GOODVEST,889263117,66.19B,Activités financières et d'assurance,75,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=889263117,MATCHED,2026-08-16T11:59:40+04:00,Finance / Assurance,deterministic,4
groupe cloue,Groupe Cloué,,,,,,recherche-entreprises.api.gouv.fr,,NOT_FOUND,2026-08-17T10:23:34+04:00,,,4
groupe lenormant,Groupe Lenormant,,,,,,recherche-entreprises.api.gouv.fr,,NOT_FOUND,2026-08-17T10:23:34+04:00,,,4
groupe t2mc,Groupe T2MC,,,,,,recherche-entreprises.api.gouv.fr,,NOT_FOUND,2026-08-17T10:23:34+04:00,,,4
heypulse,HeyPulse,,,,,,recherche-entreprises.api.gouv.fr,,NOT_FOUND,2026-08-17T10:23:34+04:00,,,4
homair,Homair,HOMAIR,340061530,93.0D,"Arts, spectacles et activités récréatives",17,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=340061530,MATCHED,2026-08-16T20:20:24+04:00,,llm_declined,4
hospices civils de lyon,Hospices Civils de Lyon,HOSPICES CIVILS DE LYON,266900273,86.10Z,Santé humaine et action sociale,69,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=266900273,MATCHED,2026-08-16T11:59:40+04:00,,,4
i cad,I-CAD,,,,,,recherche-entreprises.api.gouv.fr,,NOT_FOUND,2026-08-17T10:23:34+04:00,,,4
