Golden_ID,Organisation,Reference_Date,Match_Status,Match_Strategy,Incident_ID_Snapshot,Incident_ID_Current,Secteur_REF,Secteur_CW,Secteur_Match,Menace_REF,Menace_CW,Menace_Match,Localisation_REF,Localisation_CW,Localisation_Match
GOLD-0058,1001Coques,2026-07-07,MATCHED,snapshot_id,INC-86062736264A,INC-86062736264A,Commerce / Distribution,Numérique / Technologie,False,Fuite de données,Fuite de données,True,France métropolitaine,Inconnu,False
GOLD-0059,ENS Paris-Saclay,2026-07-07,MATCHED,snapshot_id,INC-EEDEA7EC3595,INC-EEDEA7EC3595,Éducation / Formation,Inconnu,False,Fuite de données,Fuite de données,True,France métropolitaine,France métropolitaine,True
GOLD-0060,Espaces Atypiques,2026-07-06,MATCHED,snapshot_id,INC-BFE7FA130189,INC-BFE7FA130189,Construction / BTP,Construction / BTP,True,Fuite de données,Fuite de données,True,France métropolitaine,France métropolitaine,True
GOLD-0061,IAD Group,2026-07-03,MATCHED,snapshot_id,INC-F65B640D74E9,INC-F65B640D74E9,Construction / BTP,Construction / BTP,True,Fuite de données,Fuite de données,True,France métropolitaine,Inconnu,False
GOLD-0062,Police Municipale Le Pontet,2026-07-01,MATCHED,snapshot_id,INC-4D61E266907A,INC-4D61E266907A,Administration / Collectivité,Administration / Collectivité,True,Fuite de données,Fuite de données,True,France métropolitaine,Inconnu,False
GOLD-0064,Air Corsica,2026-06-29,MATCHED,snapshot_id,INC-871A659D5296,INC-871A659D5296,Transport / Logistique,Inconnu,False,Fuite de données,Fuite de données,True,France métropolitaine,Inconnu,False
GOLD-0065,Axonaut,2026-06-29,MATCHED,snapshot_id,INC-2673611A058B,INC-2673611A058B,Numérique / Technologie,Inconnu,False,Fuite de données,Fuite de données,True,France métropolitaine,La Réunion,False
GOLD-0066,CapiFrance,2026-06-29,MATCHED,snapshot_id,INC-FABC6345C6E5,INC-FABC6345C6E5,Construction / BTP,Inconnu,False,Fuite de données,Fuite de données,True,France métropolitaine,France métropolitaine,True
GOLD-0067,Ministère des Sports,2026-06-26,MATCHED,snapshot_id,INC-B9C4EBD81CBB,INC-B9C4EBD81CBB,Administration / Collectivité,Administration / Collectivité,True,Fuite de données,Fuite de données,True,France métropolitaine,Inconnu,False
GOLD-0068,Fédération Hospitalière de France,2026-06-24,MATCHED,snapshot_id,INC-AB7E14BBE82D,INC-AB7E14BBE82D,Santé,Inconnu,False,Fuite de données,Fuite de données,True,France métropolitaine,Inconnu,False
