Severity,Code,Golden_ID,Related_Golden_ID,Field,Current_Value,Suggested_Value,Message
WARN,GENERIC_EVIDENCE,GOLD-0040,,Menace,Fuite de données,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,GENERIC_EVIDENCE,GOLD-0040,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,GENERIC_EVIDENCE,GOLD-0041,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,HIGH_WITHOUT_SOURCE_URL,GOLD-0043,,,,,au moins un champ HIGH sans URL de source rejouable
WARN,GENERIC_EVIDENCE,GOLD-0043,,Menace,Fuite de données,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,GENERIC_EVIDENCE,GOLD-0043,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,GENERIC_EVIDENCE,GOLD-0045,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,HIGH_WITHOUT_SOURCE_URL,GOLD-0046,,,,,au moins un champ HIGH sans URL de source rejouable
WARN,GENERIC_EVIDENCE,GOLD-0046,,Menace,Fuite de données,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,GENERIC_EVIDENCE,GOLD-0046,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,HIGH_WITHOUT_SOURCE_URL,GOLD-0047,,,,,au moins un champ HIGH sans URL de source rejouable
WARN,GENERIC_EVIDENCE,GOLD-0047,,Menace,Fuite de données,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,GENERIC_EVIDENCE,GOLD-0047,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,GENERIC_EVIDENCE,GOLD-0048,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,HIGH_WITHOUT_SOURCE_URL,GOLD-0049,,,,,au moins un champ HIGH sans URL de source rejouable
WARN,GENERIC_EVIDENCE,GOLD-0049,,Menace,Fuite de données,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,GENERIC_EVIDENCE,GOLD-0049,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,HIGH_WITHOUT_SOURCE_URL,GOLD-0050,,,,,au moins un champ HIGH sans URL de source rejouable
WARN,GENERIC_EVIDENCE,GOLD-0050,,Menace,Fuite de données,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,GENERIC_EVIDENCE,GOLD-0050,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,HIGH_WITHOUT_SOURCE_URL,GOLD-0051,,,,,au moins un champ HIGH sans URL de source rejouable
